baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_ensembl,gene
53.6070187207248,3.1038658470519,0.544915760244039,5.69604712049775,1.22617001935356e-08,3.64344159550716e-06,GNL3L_ENSG00000130119,GNL3L
56.5984719466417,4.27426369947342,0.753281083825219,5.67419492039861,1.39342401203861e-08,4.05923540134464e-06,RAD52_ENSG00000002016,RAD52
152.401309028679,-3.79619783145403,0.670119955803909,-5.66495266791439,1.47065126110216e-08,4.20182034349899e-06,MED21_ENSG00000152944,MED21
46.4372577223291,3.89232842632686,0.688279225108286,5.65515895923561,1.55702103076732e-08,4.36465310454908e-06,RHNO1_ENSG00000171792,RHNO1
30.3607793532484,3.15167043308295,0.559536616581451,5.63264376215165,1.77467798310107e-08,4.88266496202455e-06,NSUN4_ENSG00000117481,NSUN4
27.6772087983026,7.88191977686431,1.40474495890055,5.61092583171343,2.01247009795147e-08,5.43623059004818e-06,CEP44_ENSG00000164118,CEP44
946.09658557229,2.52802204707309,0.451131914409289,5.60373133960889,2.09785795134234e-08,5.56569206840948e-06,WNK1_ENSG00000060237,WNK1
171.370380725802,-4.12718740738109,0.737708243849806,-5.59460659656307,2.21122580283479e-08,5.74790847565346e-06,NBEAL1_ENSG00000144426,NBEAL1
25.0594876766903,6.83528378297399,1.22231953462651,5.5920596778015,2.24391661565525e-08,5.74790847565346e-06,FHIT_ENSG00000189283,FHIT
391.120881202907,-4.28892785238328,0.770114352455691,-5.56920909045134,2.55898252505926e-08,6.44386497878058e-06,SLC39A11_ENSG00000133195,SLC39A11
43.0469743552185,5.39043705635987,0.969720900349595,5.55875103281424,2.71711950079314e-08,6.72804073721394e-06,NDC80_ENSG00000080986,NDC80
73.2424783300422,3.81874808511473,0.692685678738418,5.51295948845049,3.52849472964055e-08,8.5939092128311e-06,IQCG_ENSG00000114473,IQCG
37.5108639827247,6.57014023756639,1.19331582712825,5.50578487958014,3.67527103024756e-08,8.66722249149017e-06,AK1_ENSG00000106992,AK1
12.7755926426535,3.43965997802709,0.624651435695976,5.50652697082922,3.65981915360482e-08,8.66722249149017e-06,TSR2_ENSG00000158526,TSR2
14.7914700328847,5.62075362947393,1.02702273661004,5.47286192321963,4.42825141364636e-08,9.97774239595218e-06,ITGA3_ENSG00000005884,ITGA3
38.8148077465378,-4.29013512246598,0.783916566760769,-5.47269352935516,4.43246279957491e-08,9.97774239595218e-06,KRBA1_ENSG00000133619,KRBA1
67.9590303856279,3.98301560889031,0.727485202133424,5.47504691120825,4.37395723557075e-08,9.97774239595218e-06,WDR43_ENSG00000163811,WDR43
169.982336898507,2.82607148281382,0.519274258583619,5.4423485010065,5.25826754944161e-08,1.16600120868737e-05,TUT4_ENSG00000134744,TUT4
139.174633502609,-3.48468580066547,0.640679389021251,-5.43904776769694,5.35660932715762e-08,1.17034036431736e-05,ZSCAN29_ENSG00000140265,ZSCAN29
81.6326477756918,4.83484089779022,0.893166103495883,5.41314866167277,6.19260354602486e-08,1.31433586976131e-05,FAM151B_ENSG00000152380,FAM151B
414.014071724246,-3.18618384699996,0.58844786491921,-5.41455587987799,6.14410138404586e-08,1.31433586976131e-05,EGLN2_ENSG00000269858,EGLN2
12.4974012431808,6.94780965460163,1.28881132938315,5.39086637136173,7.01188028058784e-08,1.4672606384323e-05,CFAP298_ENSG00000159079,CFAP298
27.3422017107772,-3.01249477512934,0.560680374777206,-5.37292709117275,7.74686584506562e-08,1.5985442480575e-05,PINK1_ENSG00000158828,PINK1
36.5040718850732,3.35828092544808,0.626832555896027,5.35754069226283,8.43623715185806e-08,1.71694760774185e-05,RNGTT_ENSG00000111880,RNGTT
214.303540906194,3.36302977295874,0.628437294344207,5.35141660627917,8.72683529065069e-08,1.75208907990807e-05,ZBTB8OS_ENSG00000176261,ZBTB8OS
156.651620049913,4.35193054429703,0.817074342069616,5.32623571714878,1.0026899373195e-07,1.9862619198341e-05,KRI1_ENSG00000129347,KRI1
49.1466049919106,4.74146198312783,0.891783480576981,5.31683091960856,1.05590100869849e-07,2.06414753766231e-05,ZNF720_ENSG00000197302,ZNF720
