baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_ensembl,gene
61.8989257173687,3.92509175696484,0.675464355322324,5.81095319987956,6.21181287739817e-09,1.28984465199454e-06,PLEKHG1_ENSG00000120278,PLEKHG1
132.454695069184,4.11243900476198,0.712159357418904,5.77460502613739,7.71338056713709e-09,1.57999219779276e-06,PNPT1_ENSG00000138035,PNPT1
3.20553048733318,17.0425510571901,2.99407352638165,5.69209503608487,1.2548996856428e-08,2.53623592466314e-06,AC012184.2_ENSG00000260537,AC012184.2
72.6512497597189,5.07586337866168,0.894822265453158,5.6724822063867,1.40743143260229e-08,2.80708495465599e-06,PPEF2_ENSG00000156194,PPEF2
118.579057030654,-2.78987565253052,0.496632582112884,-5.61758481624628,1.93645124629839e-08,3.81204259628455e-06,VPS4A_ENSG00000132612,VPS4A
21.020471151237,10.0571804342046,1.79440459754029,5.6047451327257,2.08561627226549e-08,4.0471749592059e-06,SH3D19_ENSG00000109686,SH3D19
829.82736646734,-3.66188043186624,0.653581663979266,-5.60278941972033,2.10929424579276e-08,4.0471749592059e-06,TANGO2_ENSG00000183597,TANGO2
324.626057251427,-3.43017293697649,0.622552981449023,-5.50984902360052,3.59141604486481e-08,6.8048355510076e-06,TOMM6_ENSG00000214736,TOMM6
13.9857270837475,4.92315553399665,0.898990433121798,5.47631582340726,4.34272320840422e-08,8.12678992506063e-06,AL049834.1_ENSG00000042317,AL049834.1
87.5285107330936,-3.25040056392315,0.597175830400755,-5.44295398181447,5.24041884102397e-08,9.68710595027333e-06,SPDYE16_ENSG00000185040,SPDYE16
24.9445189615937,-2.41740995887386,0.445234657118651,-5.4295188396119,5.65061881963585e-08,1.0319527719041e-05,PINK1_ENSG00000158828,PINK1
4.73161326803996,3.2665917577667,0.608822148609386,5.36542858243239,8.07572298486362e-08,1.45728344053051e-05,SCUBE1_ENSG00000159307,SCUBE1
149.404278382926,-3.45740034051252,0.644907237274035,-5.361081626447,8.27251244366164e-08,1.47523227789439e-05,HLX_ENSG00000136630,HLX
2.53271244343752,5.9800182839982,1.11804551992489,5.34863579114376,8.86196731071107e-08,1.56197326157859e-05,KCP_ENSG00000135253,KCP
24.6576135551045,3.25963866169496,0.613498505978117,5.3131973915699,1.07718245524518e-07,1.87677375363292e-05,ZC3H8_ENSG00000144161,ZC3H8
11.0707249426319,7.08589997802597,1.33639071495148,5.30226669397598,1.14373587770167e-07,1.97008504934113e-05,BRDT_ENSG00000137948,BRDT
3.45684417019512,6.93336798717913,1.31608626364201,5.26817137958148,1.37789439193536e-07,2.34675541493889e-05,ANGPTL6_ENSG00000130812,ANGPTL6
14.5516644149613,3.85752106742863,0.736037167309497,5.24093244031328,1.59767206156347e-07,2.69083478990878e-05,CHRNA7_ENSG00000175344,CHRNA7
3.98441438332047,3.77275951936007,0.720253143792432,5.23810211989485,1.62236290319347e-07,2.70239306446226e-05,CPA4_ENSG00000128510,CPA4
